Time (s),CH1,CH2
-0.0014496063197820162,0.1625,0.1625
-0.001449206318038147,-0.14828125,-0.14828125
-0.0014488063162942778,0.163125,0.163125
-0.0014484063145504087,-0.1484375,-0.1484375
-0.0014480063128065395,0.16390625,0.16390625
-0.0014476063110626703,-0.149375,-0.149375
-0.0014472063093188012,0.16375,0.16375
-0.001446806307574932,-0.14953125,-0.14953125
-0.0014464063058310629,0.165,0.165
-0.0014460063040871937,-0.1496875,-0.1496875
-0.0014456063023433245,0.1653125,0.1653125
-0.0014452063005994554,-0.15031250000000002,-0.15031250000000002
-0.0014448062988555862,0.16515625,0.16515625
-0.001444406297111717,-0.150625,-0.150625
-0.0014440062953678479,0.16609375,0.16609375
-0.0014436062936239787,-0.1509375,-0.1509375
-0.0014432062918801095,0.16625,0.16625
-0.0014428062901362404,-0.15125,-0.15125
-0.0014424062883923712,0.16671875,0.16671875
-0.001442006286648502,-0.15203125,-0.15203125
-0.0014416062849046329,0.1678125,0.1678125
-0.0014412062831607637,-0.15265625,-0.15265625
-0.0014408062814168945,0.16765625,0.16765625
-0.0014404062796730254,-0.153125,-0.153125
-0.0014400062779291562,0.16796875,0.16796875
-0.001439606276185287,-0.153125,-0.153125
-0.0014392062744414179,0.16796875,0.16796875
-0.0014388062726975487,-0.153125,-0.153125
-0.0014384062709536796,0.16859375000000001,0.16859375000000001
-0.0014380062692098104,-0.15375,-0.15375
-0.0014376062674659412,0.16921875,0.16921875
-0.001437206265722072,-0.15421875000000002,-0.15421875000000002
-0.001436806263978203,0.169375,0.169375
-0.0014364062622343337,-0.154375,-0.154375
-0.0014360062604904646,0.17046875,0.17046875
-0.0014356062587465954,-0.1546875,-0.1546875
-0.0014352062570027262,0.17078125,0.17078125
-0.001434806255258857,-0.15515625,-0.15515625
-0.001434406253514988,0.1709375,0.1709375
-0.0014340062517711187,-0.15578125,-0.15578125
-0.0014336062500272496,0.171875,0.171875
-0.0014332062482833804,-0.15609375,-0.15609375
-0.0014328062465395113,0.17203125,0.17203125
-0.001432406244795642,-0.1565625,-0.1565625
-0.001432006243051773,0.17234375,0.17234375
-0.0014316062413079038,-0.1571875,-0.1571875
-0.0014312062395640346,0.1728125,0.1728125
-0.0014308062378201654,-0.15703125,-0.15703125
-0.0014304062360762963,0.1734375,0.1734375
-0.001430006234332427,-0.15734375,-0.15734375
-0.001429606232588558,0.17359375,0.17359375
-0.0014292062308446888,-0.15812500000000002,-0.15812500000000002
-0.0014288062291008196,0.17359375,0.17359375
-0.0014284062273569504,-0.15828125,-0.15828125
-0.0014280062256130813,0.1740625,0.1740625
-0.0014276062238692121,-0.15875,-0.15875
-0.001427206222125343,0.17421875,0.17421875
-0.0014268062203814738,-0.15890625,-0.15890625
-0.0014264062186376046,0.17500000000000002,0.17500000000000002
-0.0014260062168937355,-0.1590625,-0.1590625
-0.0014256062151498663,0.17609375,0.17609375
-0.0014252062134059971,-0.16046875,-0.16046875
-0.001424806211662128,0.175625,0.175625
-0.0014244062099182588,-0.16015625,-0.16015625
-0.0014240062081743896,0.175625,0.175625
-0.0014236062064305205,-0.16,-0.16
-0.0014232062046866513,0.1765625,0.1765625
-0.0014228062029427821,-0.16078125000000001,-0.16078125000000001
-0.001422406201198913,0.1765625,0.1765625
-0.0014220061994550438,-0.16140625,-0.16140625
-0.0014216061977111746,0.17703125,0.17703125
-0.0014212061959673055,-0.16203125000000002,-0.16203125000000002
-0.0014208061942234363,0.1778125,0.1778125
-0.0014204061924795671,-0.16203125000000002,-0.16203125000000002
-0.001420006190735698,0.17828125,0.17828125
-0.0014196061889918288,-0.1621875,-0.1621875
-0.0014192061872479597,0.17859375,0.17859375
-0.0014188061855040905,-0.1628125,-0.1628125
